Data;plano_contas_id;cliente;uf;valor_recebido
2024-04-18;32;Silveira;MA;5859.78
2025-02-10;33;Peixoto;AC;16765.99
2024-02-27;33;Lopes;RS;14329.22
2024-12-19;12;Pereira - ME;RJ;1773.52
2023-07-15;21;Nogueira e Filhos;MA;46710.9
2023-06-06;22;Jesus Azevedo Ltda.;AC;12492.91
2024-04-04;22;Pereira;MG;36273.44
2023-07-11;31;da Rosa;SP;3199.81
2024-09-03;33;Nunes;RR;26631.67
2025-03-27;31;da Paz;MT;48210.2
2024-01-15;32;Moreira;PB;45959.88
2023-11-16;32;Barros;PA;42685.7
2024-11-23;21;da Conceição Nascimento S/A;SP;14895.69
2025-01-14;21;Freitas S.A.;DF;6834.87
2024-08-15;33;Lima - EI;DF;25249.02
2023-07-16;22;Porto Souza S.A.;CE;7860.08
2024-03-18;11;Vieira;MT;36674.44
2023-07-27;11;das Neves;GO;5568.37
2023-12-06;11;Campos Lima S/A;CE;27777.97
2023-07-01;32;Pinto;RR;24701.37
2025-01-17;32;Barbosa Ltda.;SE;30381.65
2023-07-13;32;Pires;AP;24801.9
2024-11-27;22;da Costa;AL;28505.86
2023-11-16;32;Ramos Silva S.A.;RR;48917.77
2024-02-16;32;Moraes;PE;16680.46
2025-01-05;11;Lima Ltda.;GO;49937.59
2024-10-02;31;Novaes;PR;12008.06
2023-12-25;22;da Mota Cunha S/A;BA;47169.08
2024-04-11;12;Ferreira e Filhos;AM;28575.62
2024-09-11;12;Martins da Paz S/A;AL;11859.5
2023-12-07;11;Moreira;MA;34481.53
2023-04-27;31;Ramos;RJ;32946.49
2023-12-25;32;Azevedo;MA;24916.49
2023-10-05;21;Nunes Vieira S.A.;RR;40494.35
2023-12-07;31;das Neves;MT;8561.44
2023-10-23;32;Moreira;PE;46643.5
2024-05-26;32;Araújo - EI;PI;40483.72
2023-07-18;31;Barros S.A.;DF;31785.44
2023-07-16;32;da Cruz;PB;30524.48
2024-10-20;31;Silva e Filhos;SP;19633.9
2024-11-18;22;da Luz;ES;45897.55
2024-03-09;12;Barros Silva - EI;PR;34561.78
2025-01-11;33;da Costa;MG;3594.73
2025-03-09;11;Barbosa;PA;32571.96
2024-03-03;32;Duarte;MA;6064.51
2023-10-10;11;Araújo;RJ;17887.49
2024-06-18;21;Moraes S.A.;MA;20754.78
2023-04-16;12;da Mata;PA;22004.02
2025-01-24;33;Farias Porto Ltda.;GO;2732.26
2024-03-20;33;Araújo;MT;31338.3
2023-04-28;21;da Mata;RR;30888.58
2024-11-27;31;Aragão da Cunha - EI;PR;21515.84
2023-04-17;31;Moura;CE;1534.62
2023-11-23;21;Cunha;AP;19343.66
2024-04-10;12;Azevedo Barros - ME;AP;17678.19
2025-03-17;21;da Rocha S/A;SE;48823.14
2024-04-13;31;Moura Correia Ltda.;PE;30702.77
2024-09-03;12;Moura S.A.;AC;42526.67
2024-06-27;22;da Mota S/A;MS;22054.09
2024-10-07;31;Porto;MA;32879.35
2024-05-04;32;Pereira - ME;RJ;15407.52
2024-08-08;11;da Rocha;AC;27989.08
2024-12-09;31;Rodrigues Gonçalves e Filhos;RO;10236.18
2023-05-25;21;Souza;AL;30713.83
2023-07-11;22;da Mata;CE;45175.65
2025-03-27;32;da Costa - EI;PI;27738.11
2024-02-07;33;da Rocha;PE;28298.63
2023-04-25;33;Novaes Lopes - ME;MA;18289.3
2024-02-01;21;da Cunha;RS;23389.69
2024-07-20;11;Cavalcanti;MT;23112.88
2023-04-20;33;Ferreira e Filhos;BA;25406.8
2023-11-05;31;Castro e Filhos;AP;11258.38
2024-05-16;12;Correia;MT;1726.88
2023-11-27;21;Gonçalves Moura S/A;SE;37101.39
2025-02-27;31;Gonçalves;AC;15064.35
2024-08-01;33;Freitas Cardoso S.A.;DF;11655.38
2023-04-03;12;Rodrigues Porto S.A.;BA;37534.23
2024-04-11;32;da Conceição Gonçalves e Filhos;PR;49077.33
2025-03-02;22;Duarte;SE;16353.36
2024-07-28;12;Nunes;RJ;21724.41
2024-06-24;11;Santos;ES;15605.89
2023-05-22;32;Cardoso;PB;38130.12
2025-01-08;22;da Conceição;ES;35675.05
2024-08-19;22;Duarte;SP;10605.42
2023-12-27;12;Souza - EI;MA;9073.38
2023-10-22;33;Cunha;RS;3292.08
2023-09-22;32;da Luz;AC;3593.22
2023-08-31;32;Ramos Costa - ME;PA;2332.01
2024-01-12;31;Pinto;GO;36068.86
2024-03-14;32;Mendes Castro - ME;BA;25460.29
2024-04-12;12;da Rocha Caldeira S/A;PI;42045.84
2023-07-12;33;Nunes;AC;16279.14
2023-07-21;22;Fogaça;SC;24927.42
2025-01-09;21;Costela;PB;43872.71
2023-12-26;21;Sales S.A.;AC;25142.48
2023-10-17;21;Jesus Rodrigues - EI;DF;35972.24
2023-05-22;12;Nascimento;CE;14092.59
2023-05-29;12;da Costa S.A.;SE;17972.43
2024-07-23;22;Mendes e Filhos;RR;1289.99
2023-11-15;33;Pereira;SE;49529.22
2025-01-06;21;Ramos;ES;28832.58
2024-12-18;32;Oliveira - ME;DF;42148.0
2024-07-06;11;Cardoso;PI;48285.96
2024-02-23;11;da Mota;AP;25685.46
2023-09-29;32;Aragão;PR;9004.12
2023-08-07;32;Porto e Filhos;RS;5631.99
2024-02-10;21;Costa - EI;CE;20387.72
2024-10-29;32;Araújo Gonçalves S.A.;RN;12947.99
2023-10-27;12;Correia;AL;14642.11
2024-11-05;33;Nascimento;RN;33659.61
2023-08-20;12;Vieira S.A.;RJ;3494.61
